html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count
https://github.com/dvcrn/proton,Clojure,28,https://github.com/dvcrn/proton,Clojure,4861,dvcrn,569
https://github.com/clj-commons/rewrite-clj,Clojure,25,https://github.com/clj-commons/rewrite-clj,Clojure,5938,clj-commons,568
https://github.com/takeoutweight/clojure-scheme,Clojure,60,https://github.com/takeoutweight/clojure-scheme,Clojure,3818,takeoutweight,564
https://github.com/xsc/lein-ancient,Clojure,21,https://github.com/xsc/lein-ancient,Clojure,521,xsc,560
https://github.com/clj-commons/potemkin,Clojure,28,https://github.com/clj-commons/potemkin,Clojure,206,clj-commons,558
https://github.com/Netflix/PigPen,Clojure,25,https://github.com/Netflix/PigPen,Clojure,1821,Netflix,551
https://github.com/yogthos/markdown-clj,Clojure,55,https://github.com/yogthos/markdown-clj,Clojure,1415,yogthos,526
https://github.com/cljdoc/cljdoc,Clojure,75,https://github.com/cljdoc/cljdoc,Clojure,18287,cljdoc,523
https://github.com/brandonbloom/fipp,Clojure,23,https://github.com/brandonbloom/fipp,Clojure,213,brandonbloom,514
https://github.com/richhickey/clojure-contrib,Clojure,23,https://github.com/richhickey/clojure-contrib,Clojure,4439,richhickey,507
https://github.com/relevance/labrepl,Clojure,21,https://github.com/relevance/labrepl,Clojure,2222,relevance,503
https://github.com/juxt/edge,Clojure,31,https://github.com/juxt/edge,Clojure,2768,juxt,499
https://github.com/weavejester/lein-ring,Clojure,45,https://github.com/weavejester/lein-ring,Clojure,254,weavejester,499
https://github.com/cloverage/cloverage,Clojure,70,https://github.com/cloverage/cloverage,Clojure,717,cloverage,498
https://github.com/clj-commons/pomegranate,Clojure,34,https://github.com/clj-commons/pomegranate,Clojure,357,clj-commons,494
https://github.com/oliyh/martian,Clojure,28,https://github.com/oliyh/martian,Clojure,22853,oliyh,486
https://github.com/noir-clojure/lib-noir,Clojure,24,https://github.com/noir-clojure/lib-noir,Clojure,288,noir-clojure,484
https://github.com/michaelklishin/monger,Clojure,66,https://github.com/michaelklishin/monger,Clojure,1977,michaelklishin,477
https://github.com/clj-commons/gloss,Clojure,25,https://github.com/clj-commons/gloss,Clojure,361,clj-commons,476
https://github.com/clj-easy/graalvm-clojure,Clojure,28,https://github.com/clj-easy/graalvm-clojure,Clojure,155,clj-easy,475
https://github.com/squint-cljs/squint,Clojure,27,https://github.com/squint-cljs/squint,Clojure,1560,squint-cljs,474
https://github.com/nrepl/piggieback,Clojure,23,https://github.com/nrepl/piggieback,Clojure,233,nrepl,474
https://github.com/funcool/promesa,Clojure,33,https://github.com/funcool/promesa,Clojure,1440,funcool,464
https://github.com/clojars/clojars-web,Clojure,73,https://github.com/clojars/clojars-web,Clojure,3451,clojars,456
https://github.com/BrunoBonacci/mulog,Clojure,24,https://github.com/BrunoBonacci/mulog,Clojure,4704,BrunoBonacci,455
https://github.com/technomancy/slamhound,Clojure,21,https://github.com/technomancy/slamhound,Clojure,472,technomancy,454
https://github.com/Raynes/fs,Clojure,36,https://github.com/Raynes/fs,Clojure,363,Raynes,448
https://github.com/pyr/cyanite,Clojure,31,https://github.com/pyr/cyanite,Clojure,1188,pyr,448
https://github.com/polyfy/polylith,Clojure,22,https://github.com/polyfy/polylith,Clojure,42274,polyfy,447
https://github.com/immutant/immutant,Clojure,24,https://github.com/immutant/immutant,Clojure,18004,immutant,446
https://github.com/dm3/clojure.java-time,Clojure,30,https://github.com/dm3/clojure.java-time,Clojure,699,dm3,445
https://github.com/slagyr/speclj,Clojure,38,https://github.com/slagyr/speclj,Clojure,913,slagyr,443
https://github.com/gorillalabs/sparkling,Clojure,46,https://github.com/gorillalabs/sparkling,Clojure,1178,gorillalabs,439
https://github.com/semperos/clj-webdriver,Clojure,25,https://github.com/semperos/clj-webdriver,Clojure,1776,semperos,438
https://github.com/levand/domina,Clojure,23,https://github.com/levand/domina,Clojure,19060,levand,431
https://github.com/metosin/muuntaja,Clojure,48,https://github.com/metosin/muuntaja,Clojure,1243,metosin,417
https://github.com/nubank/matcher-combinators,Clojure,39,https://github.com/nubank/matcher-combinators,Clojure,714,nubank,416
https://github.com/kit-clj/kit,Clojure,31,https://github.com/kit-clj/kit,Clojure,1108,kit-clj,414
https://github.com/weavejester/eftest,Clojure,25,https://github.com/weavejester/eftest,Clojure,273,weavejester,413
https://github.com/ibdknox/jayq,Clojure,23,https://github.com/ibdknox/jayq,Clojure,105,ibdknox,410
https://github.com/typedclojure/typedclojure,Clojure,25,https://github.com/typedclojure/typedclojure,Clojure,15785,typedclojure,406
https://github.com/tomekw/hikari-cp,Clojure,40,https://github.com/tomekw/hikari-cp,Clojure,309,tomekw,405
https://github.com/martinklepsch/tenzing,Clojure,23,https://github.com/martinklepsch/tenzing,Clojure,702,martinklepsch,403
https://github.com/reagent-project/reagent-template,Clojure,54,https://github.com/reagent-project/reagent-template,Clojure,471,reagent-project,396
https://github.com/clojure-expectations/expectations,Clojure,23,https://github.com/clojure-expectations/expectations,Clojure,4617,clojure-expectations,395
https://github.com/clojurewerkz/elastisch,Clojure,82,https://github.com/clojurewerkz/elastisch,Clojure,2292,clojurewerkz,386
https://github.com/jakemcc/test-refresh,Clojure,23,https://github.com/jakemcc/test-refresh,Clojure,384,jakemcc,386
https://github.com/gojek/ziggurat,Clojure,63,https://github.com/gojek/ziggurat,Clojure,1581,gojek,384
https://github.com/adamwynne/twitter-api,Clojure,23,https://github.com/adamwynne/twitter-api,Clojure,329,adamwynne,375
https://github.com/ckirkendall/enfocus,Clojure,21,https://github.com/ckirkendall/enfocus,Clojure,1327,ckirkendall,370
https://github.com/liquidz/antq,Clojure,23,https://github.com/liquidz/antq,Clojure,813,liquidz,368
https://github.com/cfpb/qu,Clojure,29,https://github.com/cfpb/qu,Clojure,7187,cfpb,367
https://github.com/metosin/ring-swagger,Clojure,38,https://github.com/metosin/ring-swagger,Clojure,1430,metosin,360
https://github.com/FundingCircle/jackdaw,Clojure,93,https://github.com/FundingCircle/jackdaw,Clojure,1724,FundingCircle,359
https://github.com/congomongo/congomongo,Clojure,46,https://github.com/congomongo/congomongo,Clojure,5721,congomongo,358
https://github.com/hashobject/perun,Clojure,29,https://github.com/hashobject/perun,Clojure,7246,hashobject,351
https://github.com/Raynes/tentacles,Clojure,44,https://github.com/Raynes/tentacles,Clojure,324,Raynes,350
https://github.com/alexander-yakushev/compliment,Clojure,23,https://github.com/alexander-yakushev/compliment,Clojure,2249,alexander-yakushev,348
https://github.com/michaelklishin/langohr,Clojure,32,https://github.com/michaelklishin/langohr,Clojure,1592,michaelklishin,344
https://github.com/yetibot/yetibot,Clojure,30,https://github.com/yetibot/yetibot,Clojure,2229,yetibot,342
https://github.com/andrewmcveigh/cljs-time,Clojure,27,https://github.com/andrewmcveigh/cljs-time,Clojure,2468,andrewmcveigh,341
https://github.com/clj-commons/metrics-clojure,Clojure,48,https://github.com/clj-commons/metrics-clojure,Clojure,431,clj-commons,337
https://github.com/twosigma/Cook,Clojure,66,https://github.com/twosigma/Cook,Clojure,90626,twosigma,337
https://github.com/trptcolin/reply,Clojure,31,https://github.com/trptcolin/reply,Clojure,484,trptcolin,331
https://github.com/lspector/Clojush,Clojure,34,https://github.com/lspector/Clojush,Clojure,21674,lspector,326
https://github.com/bensu/doo,Clojure,27,https://github.com/bensu/doo,Clojure,831,bensu,325
https://github.com/nasa/Common-Metadata-Repository,Clojure,89,https://github.com/nasa/Common-Metadata-Repository,Clojure,55758,nasa,323
https://github.com/clojure-emacs/orchard,Clojure,46,https://github.com/clojure-emacs/orchard,Clojure,1762,clojure-emacs,315
https://github.com/sunng87/diehard,Clojure,22,https://github.com/sunng87/diehard,Clojure,409,sunng87,313
https://github.com/juxt/joplin,Clojure,30,https://github.com/juxt/joplin,Clojure,421,juxt,312
https://github.com/seantempesta/expo-cljs-template,Clojure,23,https://github.com/seantempesta/expo-cljs-template,Clojure,278,seantempesta,305
https://github.com/xeqi/kerodon,Clojure,22,https://github.com/xeqi/kerodon,Clojure,163,xeqi,304
https://github.com/funcool/cuerdas,Clojure,25,https://github.com/funcool/cuerdas,Clojure,1047,funcool,300
https://github.com/RyanMcG/lein-npm,Clojure,24,https://github.com/RyanMcG/lein-npm,Clojure,74,RyanMcG,296
