html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count,log-stargazers,log-contributors,log-stargazers-prediction
https://github.com/4clojure/4clojure,Clojure,31,https://github.com/4clojure/4clojure,Clojure,3466,4clojure,1068,6.97354301952014,3.4339872044851463,6.3340877943196965
https://github.com/weavejester/cljfmt,Clojure,53,https://github.com/weavejester/cljfmt,Clojure,580,weavejester,1061,6.966967138613983,3.970291913552122,6.804945022320192
https://github.com/yqrashawn/GokuRakuJoudo,Clojure,34,https://github.com/yqrashawn/GokuRakuJoudo,Clojure,837,yqrashawn,1017,6.92461239604856,3.5263605246161616,6.415188416266054
https://github.com/zk/clojuredocs,Clojure,37,https://github.com/zk/clojuredocs,Clojure,11656,zk,1008,6.915723448631314,3.6109179126442243,6.489426916619934
https://github.com/hoplon/hoplon,Clojure,38,https://github.com/hoplon/hoplon,Clojure,2010,hoplon,1007,6.914730892718563,3.6375861597263857,6.512840727247449
https://github.com/mcohen01/amazonica,Clojure,121,https://github.com/mcohen01/amazonica,Clojure,1373,mcohen01,996,6.903747257584598,4.795790545596741,7.529704643168847
https://github.com/clj-commons/manifold,Clojure,46,https://github.com/clj-commons/manifold,Clojure,1605,clj-commons,993,6.900730664045173,3.828641396489095,6.680580703526182
https://github.com/juxt/bidi,Clojure,55,https://github.com/juxt/bidi,Clojure,730,juxt,984,6.891625897052253,4.007333185232471,6.837465994465607
https://github.com/clj-python/libpython-clj,Clojure,24,https://github.com/clj-python/libpython-clj,Clojure,2484,clj-python,980,6.887552571664617,3.1780538303479458,6.109387028017071
https://github.com/juji-io/datalevin,Clojure,77,https://github.com/juji-io/datalevin,Clojure,10172,juji-io,974,6.881411303642535,4.343805421853684,7.1328771328653
https://github.com/yogthos/Selmer,Clojure,80,https://github.com/yogthos/Selmer,Clojure,1296,yogthos,946,6.852242569051878,4.382026634673881,7.166434053054653
https://github.com/funcool/cats,Clojure,53,https://github.com/funcool/cats,Clojure,1632,funcool,936,6.841615476477592,3.970291913552122,6.804945022320192
